id,subject,topic,difficulty,question,option_1,option_2,option_3,option_4,answer,explanation
11,Medicine,Nephrology,3,A 10-year-old boy presents with hematuria and periorbital edema 2 weeks after a sore throat. Blood tests show low C3 levels. What is the diagnosis?,Minimal Change Disease,Post-Streptococcal Glomerulonephritis,IgA Nephropathy,Membranous Nephropathy,Post-Streptococcal Glomerulonephritis,"PSGN typically occurs 1-3 weeks after a strep infection, presenting with hematuria and low complement C3."
12,Radiology,Physics,1,Which of the following imaging modalities does NOT use ionizing radiation?,Computed Tomography (CT),X-ray,Mammography,Ultrasonography (USG),Ultrasonography (USG),"USG uses sound waves, and MRI uses magnetic fields. Both are non-ionizing."
13,Medicine,Cardiology,2,The drug of choice for terminating Paroxysmal Supraventricular Tachycardia (PSVT) is:,Digoxin,Amiodarone,Adenosine,Atropine,Adenosine,Adenosine is the DOC for PSVT due to its rapid onset and ability to block the AV node temporarily.
14,Medicine,Gastroenterology,3,A patient with cirrhosis presents with hematemesis. What is the most likely cause?,Peptic Ulcer,Mallory-Weiss Tear,Esophageal Varices,Gastric Carcinoma,Esophageal Varices,"Portal hypertension in cirrhosis leads to esophageal varices, which are prone to massive bleeding."
15,Psychiatry,Pharmacology,4,Which of the following antipsychotics is most likely to cause Weight Gain and Diabetes?,Haloperidol,Olanzapine,Aripiprazole,Ziprasidone,Olanzapine,Second-generation antipsychotics like Olanzapine and Clozapine have the highest risk of metabolic side effects.
16,Dermatology,Infections,2,The 'Slapped Cheek' appearance is characteristic of which viral infection?,Measles,Rubella,Erythema Infectiosum (Fifth Disease),Roseola Infantum,Erythema Infectiosum (Fifth Disease),Parvovirus B19 causes the classic 'slapped cheek' rash followed by a reticular pattern on the trunk.
17,Medicine,Infectious Disease,1,The 'Step-ladder' pattern of fever is characteristic of:,Malaria,Typhoid,Dengue,Kala-azar,Typhoid,Typhoid (Enteric fever) traditionally presents with a step-ladder rise in temperature over the first week.
18,Radiology,Respiratory,3,A 'Sail sign' on a pediatric chest X-ray represents:,Pneumothorax,Normal Thymus,Right Lower Lobe Collapse,Pleural Effusion,Normal Thymus,The thymus is often visible in children as a sail-shaped shadow in the superior mediastinum.
19,Medicine,Rheumatology,4,Anti-double stranded DNA (anti-dsDNA) antibodies are highly specific for:,Rheumatoid Arthritis,Systemic Sclerosis,Systemic Lupus Erythematosus (SLE),Sjogren's Syndrome,Systemic Lupus Erythematosus (SLE),"While ANA is sensitive, anti-dsDNA and anti-Smith antibodies are highly specific for SLE."
20,Psychiatry,Defense Mechanisms,3,A man who is angry with his boss comes home and shouts at his wife. Which defense mechanism is he using?,Projection,Displacement,Reaction Formation,Sublimation,Displacement,Displacement involves shifting emotions from a threatening target (boss) to a less threatening one (wife).
21,Medicine,Cardiology,2,Which ECG change is most characteristic of Hypokalemia?,Peaked T waves,U waves,ST elevation,Shortened QT interval,U waves,Hypokalemia causes flat T waves and the appearance of prominent U waves.
22,Dermatology,Leprosy,3,Which of the following is the drug of choice for Type 2 Lepra Reaction?,Prednisolone,Thalidomide,Clofazimine,Dapsone,Thalidomide,"Thalidomide is highly effective for Erythema Nodosum Leprosum (Type 2 reaction), though it must be avoided in pregnancy."
23,Medicine,Endocrinology,2,"A patient with 'Moon facies', 'Buffalo hump', and abdominal striae most likely has excess of:",Thyroxine,Cortisol,Growth Hormone,Aldosterone,Cortisol,These are the classic clinical features of Cushing's Syndrome.
24,Medicine,Gastroenterology,3,"The presence of HBsAg, HBeAg, and Anti-HBc IgM in a patient's serum indicates:",Chronic Hepatitis B,Acute Hepatitis B,Hepatitis B Vaccination,Recovery from Hepatitis B,Acute Hepatitis B,IgM anti-HBc is a marker of acute infection. HBeAg indicates high infectivity.
25,Radiology,Neurology,4,A 'Biconvex' or lens-shaped hyperdense area on a non-contrast CT head suggests:,Subdural Hematoma,Epidural Hematoma,Subarachnoid Hemorrhage,Intracerebral Hemorrhage,Epidural Hematoma,Epidural hematomas (usually arterial) are biconvex/lenticular. Subdural hematomas are crescent-shaped.
26,Psychiatry,Neurodevelopmental,2,"A child shows lack of social interaction, repetitive behaviors, and delayed speech. The diagnosis is:",ADHD,Autism Spectrum Disorder,Conduct Disorder,Down Syndrome,Autism Spectrum Disorder,Social communication deficits and restricted/repetitive interests are core features of Autism.
27,Medicine,Hematology,2,Vitamin B12 deficiency causes which type of anemia?,Microcytic Hypochromic,Normocytic Normochromic,Megaloblastic Anemia,Hemolytic Anemia,Megaloblastic Anemia,B12 and Folate deficiencies lead to impaired DNA synthesis and megaloblastic changes.
28,Medicine,Neurology,1,What is the drug of choice for Absence Seizures?,Phenytoin,Ethosuximide,Carbamazepine,Diazepam,Ethosuximide,Ethosuximide or Valproate are used for absence seizures. Phenytoin and Carbamazepine can actually worsen them.
29,Dermatology,Acne,2,Which of the following is a side effect of oral Isotretinoin?,Hypolipidemia,Teratogenicity,Hypotension,Weight Gain,Teratogenicity,Isotretinoin is highly teratogenic (causes birth defects). Pregnancy must be strictly avoided.
30,Medicine,Pulmonology,3,A patient presents with sudden onset pleuritic chest pain and dyspnea. Chest X-ray shows a 'black' area with no lung markings. Diagnosis is:,Pneumonia,Pleural Effusion,Pneumothorax,Lung Abscess,Pneumothorax,Absence of lung markings and a visceral pleural line are diagnostic of pneumothorax.
31,Medicine,Cardiology,4,Osler's nodes and Janeway lesions are clinical signs of:,Rheumatic Fever,Infective Endocarditis,Systemic Sclerosis,Polyarteritis Nodosa,Infective Endocarditis,"These are peripheral stigmata of infective endocarditis (Osler's = painful, Janeway = painless)."
32,Psychiatry,Anxiety Disorders,3,"Recurrent, unexpected panic attacks followed by persistent concern about future attacks is:",Generalized Anxiety Disorder,Social Phobia,Panic Disorder,Obsessive Compulsive Disorder,Panic Disorder,Panic disorder is defined by spontaneous panic attacks and 'anticipatory anxiety'.
33,Radiology,Musculoskeletal,2,A 'Sunburst' appearance on X-ray of the distal femur is suggestive of:,Osteoclastoma,Osteosarcoma,Ewing's Sarcoma,Osteoma,Osteosarcoma,Sunburst periosteal reaction and Codman's triangle are classic for Osteosarcoma.
34,Medicine,Renal,3,Which of the following is the most common cause of Nephrotic Syndrome in adults?,Minimal Change Disease,Membranous Nephropathy,Focal Segmental Glomerulosclerosis,Post-Strep GN,Focal Segmental Glomerulosclerosis,"While MCD is common in children, FSGS and Membranous are common causes in adults."
35,Dermatology,Fungal Infections,1,Tinea versicolor is caused by:,Trichophyton rubrum,Microsporum canis,Malassezia furfur,Epidermophyton,Malassezia furfur,Malassezia furfur causes hyper- or hypopigmented patches with 'spaghetti and meatball' appearance on KOH mount.
36,Medicine,Endocrinology,2,What is the initial screening test for Acromegaly?,Random Growth Hormone,IGF-1 levels,Oral Glucose Tolerance Test,MRI Pituitary,IGF-1 levels,IGF-1 is stable throughout the day and is the best screening test. OGTT with GH suppression is the confirmatory test.
37,Medicine,Gastroenterology,3,The most common site of Crohn's disease is:,Duodenum,Terminal Ileum,Sigmoid Colon,Rectum,Terminal Ileum,"Crohn's can affect any part of the GI tract, but the terminal ileum and cecum are the most common sites."
38,Radiology,Contrast Media,2,Which contrast medium is used in MRI?,Iodine,Barium,Gadolinium,Air,Gadolinium,Gadolinium is the standard paramagnetic contrast agent used for MRI enhancement.
39,Medicine,Rheumatology,4,"A patient with joint pain, urethritis, and conjunctivitis likely has:",Rheumatoid Arthritis,Reactive Arthritis,Gouty Arthritis,Osteoarthritis,Reactive Arthritis,This is the 'Reiter's triad' seen in Reactive Arthritis following a GI or GU infection.
40,Psychiatry,Sleep Disorders,3,Cataplexy (sudden loss of muscle tone) is a feature of:,Insomnia,Sleep Apnea,Narcolepsy,Night Terrors,Narcolepsy,"Narcolepsy is characterized by excessive daytime sleepiness, cataplexy, and sleep paralysis."
41,Medicine,Neurology,2,What is the most common cause of Subarachnoid Hemorrhage?,Hypertension,Ruptured Berry Aneurysm,Trauma,AV Malformation,Ruptured Berry Aneurysm,Rupture of a berry aneurysm (usually in the Circle of Willis) is the leading cause of non-traumatic SAH.
42,Medicine,Cardiology,1,The 'Jones criteria' are used for the diagnosis of:,Endocarditis,Rheumatic Fever,Myocardial Infarction,Pericarditis,Rheumatic Fever,Revised Jones criteria (major and minor) are used to diagnose the first episode of Acute Rheumatic Fever.
43,Dermatology,STIs,3,"A painless, indurated ulcer (chancre) on the genitalia is characteristic of:",Chancroid,Primary Syphilis,Genital Herpes,Lymphogranuloma Venereum,Primary Syphilis,Primary syphilis presents as a painless chancre. Chancroid (H. ducreyi) is painful.
44,Medicine,Toxicology,2,What is the antidote for Paracetamol (Acetaminophen) poisoning?,Atropine,N-acetylcysteine,Naloxone,Flumazenil,N-acetylcysteine,"NAC restores glutathione stores in the liver, preventing damage from the toxic metabolite NAPQI."
45,Radiology,Abdominal,3,The 'Coffee bean' sign on an abdominal X-ray is characteristic of:,Sigmoid Volvulus,Small Bowel Obstruction,Intussusception,Pneumoperitoneum,Sigmoid Volvulus,Sigmoid volvulus causes a massively dilated loop of colon that looks like a coffee bean.
46,Psychiatry,Schizophrenia,2,Which of the following is a 'Negative symptom' of schizophrenia?,Hallucinations,Delusions,Flat Affect,Disorganized Speech,Flat Affect,"Negative symptoms include the 5 A's: Affective flattening, Alogia, Anhedonia, Asociality, and Avolition."
47,Medicine,Cardiology,3,A mid-diastolic murmur with an opening snap is suggestive of:,Mitral Regurgitation,Mitral Stenosis,Aortic Stenosis,Aortic Regurgitation,Mitral Stenosis,"This is the classic murmur of Mitral Stenosis, often caused by chronic Rheumatic Heart Disease."
48,Dermatology,Papulosquamous,4,The 'Wickham striae' are seen in which condition?,Psoriasis,Lichen Planus,Pityriasis Rosea,Secondary Syphilis,Lichen Planus,"Lichen planus presents with the 6 P's: Planar, Purple, Polygonal, Pruritic, Papules, and Plaques with Wickham striae (white lines)."
49,Medicine,Hematology,2,In which condition are 'Heinz bodies' and 'Bite cells' seen?,Sickle Cell Anemia,G6PD Deficiency,Thalassemia,Hereditary Spherocytosis,G6PD Deficiency,Oxidative stress in G6PD deficiency leads to hemoglobin precipitation (Heinz bodies) which are removed by the spleen (Bite cells).
50,Medicine,Endocrinology,3,The drug of choice for Thyroid Storm is:,Levothyroxine,Propylthiouracil (PTU),Amiodarone,Radioactive Iodine,Propylthiouracil (PTU),PTU is preferred in thyroid storm because it blocks both thyroid hormone synthesis and the peripheral conversion of T4 to T3.
51,Medicine,Gastroenterology,2,"Which vitamin deficiency is associated with Pellagra (Diarrhea, Dementia, Dermatitis)?",Thiamine,Niacin,Riboflavin,Pyridoxine,Niacin,Niacin (Vitamin B3) deficiency leads to Pellagra.
52,Psychiatry,Eating Disorders,3,A patient with a normal BMI has recurrent episodes of binge eating followed by self-induced vomiting. The diagnosis is:,Anorexia Nervosa,Bulimia Nervosa,Binge Eating Disorder,Pica,Bulimia Nervosa,"Unlike Anorexia (low BMI), Bulimia patients usually have a normal or near-normal weight."
53,Medicine,Pulmonology,1,Which of the following is the drug of choice for Mycoplasma Pneumonia?,Penicillin,Azithromycin,Ceftriaxone,Amoxicillin,Azithromycin,Macrolides or Doxycycline are used for atypical pneumonias like Mycoplasma as it lacks a cell wall.
54,Radiology,Neuro,2,What is the investigation of choice for Multiple Sclerosis?,CT Scan,MRI,X-ray,PET Scan,MRI,MRI is the most sensitive test to detect demyelinating plaques in the brain and spinal cord.
55,Medicine,Neurology,3,The 'pill-rolling' tremor is a characteristic of:,Essential Tremor,Parkinson's Disease,Multiple Sclerosis,Wilson's Disease,Parkinson's Disease,"Resting tremor (pill-rolling), bradykinesia, and rigidity are the classic triad of Parkinson's."
56,Medicine,Infectious Disease,2,The 'Koplik spots' are a pathognomonic feature of:,Rubella,Mumps,Measles,Chickenpox,Measles,Koplik spots appear on the buccal mucosa opposite the lower molars 2-3 days before the measles rash.
57,Dermatology,Infestations,2,The 'Burrow' is a classic lesion of:,Pediculosis,Scabies,Leishmaniasis,Tinea Corporis,Scabies,Burrows in the web spaces of fingers and flexor wrists are characteristic of Sarcoptes scabiei infestation.
58,Medicine,Toxicology,3,Cherry-red skin discoloration is seen in poisoning with:,Organophosphates,Lead,Carbon Monoxide,Cyanide,Carbon Monoxide,"CO poisoning leads to carboxyhemoglobin formation, which gives a cherry-red color to the skin and mucous membranes."
59,Medicine,Renal,4,Which of the following is the most common cause of Chronic Kidney Disease (CKD) worldwide?,Hypertension,Diabetes Mellitus,Glomerulonephritis,Polycystic Kidney Disease,Diabetes Mellitus,Diabetic nephropathy is the leading cause of CKD and ESRD globally.
60,Radiology,Respiratory,3,A 'Honeycomb Lung' appearance on high-resolution CT (HRCT) is a feature of:,Pulmonary Edema,Interstitial Lung Disease (ILD),Bronchiectasis,Pneumonia,Interstitial Lung Disease (ILD),Honeycombing represents end-stage fibrosis in ILD/Idiopathic Pulmonary Fibrosis.
61,Medicine,Endocrinology,2,Trousseau's sign and Chvostek's sign are seen in:,Hypercalcemia,Hypocalcemia,Hypermagnesemia,Hypokalemia,Hypocalcemia,These signs indicate neuromuscular irritability due to low calcium levels.
62,Psychiatry,Bipolar Disorder,2,What is the drug of choice for long-term maintenance of Bipolar Disorder?,Lithium,Fluoxetine,Lorazepam,Chlorpromazine,Lithium,Lithium is the gold standard mood stabilizer for Bipolar Disorder.
63,Medicine,Hematology,3,In which leukemia are 'Auer rods' seen?,Acute Myeloid Leukemia (AML),Acute Lymphoblastic Leukemia (ALL),Chronic Myeloid Leukemia (CML),Chronic Lymphocytic Leukemia (CLL),Acute Myeloid Leukemia (AML),"Auer rods are cytoplasmic inclusions found in myeloblasts, diagnostic of AML."
64,Dermatology,Pigmentary,1,Complete absence of melanin due to lack of melanocytes is seen in:,Albinism,Vitiligo,Melasma,Post-inflammatory hypopigmentation,Vitiligo,Vitiligo is an autoimmune destruction of melanocytes. Albinism has melanocytes but lacks the tyrosinase enzyme.
65,Medicine,Infectious Disease,3,The vector for Kala-azar (Visceral Leishmaniasis) is:,Anopheles mosquito,Culex mosquito,Sandfly,Tsetse fly,Sandfly,Phlebotomus (Sandfly) is the vector for Leishmania donovani.
66,Radiology,Urology,2,What is the best initial imaging for a patient with suspected Renal Calculi (stones)?,MRI,X-ray KUB,CT KUB (Non-contrast),Ultrasound,CT KUB (Non-contrast),NCCT is the gold standard for detecting renal and ureteric stones.
67,Medicine,Cardiology,4,A patient with Atrial Fibrillation is at high risk for which complication?,Myocardial Infarction,Ischemic Stroke,Aortic Stenosis,Pulmonary Fibrosis,Ischemic Stroke,Stasis of blood in the left atrium leads to thrombus formation and embolic stroke.
68,Psychiatry,Emergency,4,Neuroleptic Malignant Syndrome (NMS) is caused by which class of drugs?,Antidepressants,Antipsychotics,Benzodiazepines,Lithium,Antipsychotics,"NMS is a rare but life-threatening reaction to dopamine antagonists (antipsychotics), causing fever, rigidity, and autonomic instability."
69,Medicine,Neurology,3,Which nerve is commonly affected in Carpal Tunnel Syndrome?,Ulnar nerve,Radial nerve,Median nerve,Axillary nerve,Median nerve,The median nerve is compressed as it passes through the carpal tunnel at the wrist.
70,Medicine,Gastroenterology,2,Which of the following is the most common cause of Acute Pancreatitis?,Alcohol and Gallstones,Hypercalcemia,Trauma,Viral infection,Alcohol and Gallstones,Gallstones and heavy alcohol use account for the majority of acute pancreatitis cases.
71,Dermatology,Vesiculobullous,3,Which sign is used to differentiate Pemphigus from Bullous Pemphigoid?,Auspitz sign,Nikolsky sign,Darier sign,Buttonhole sign,Nikolsky sign,Nikolsky sign is positive in Pemphigus (intraepidermal) and negative in Bullous Pemphigoid (subepidermal).
72,Medicine,Infectious Disease,1,The 'Widal test' is used for:,Typhus,Typhoid,Brucellosis,Cholera,Typhoid,Widal test measures agglutinating antibodies against H and O antigens of Salmonella typhi.
73,Radiology,Gastro,4,A 'Bird's Beak' appearance on barium swallow is characteristic of:,Hiatal Hernia,Achalasia Cardia,Esophageal Web,Diffuse Esophageal Spasm,Achalasia Cardia,Failure of the LES to relax results in a dilated esophagus with a tapered lower end (bird's beak).
74,Medicine,Pulmonology,2,Which of the following drugs is used as a 'Reliever' in acute asthma attacks?,Salmeterol,Salbutamol,Fluticasone,Montelukast,Salbutamol,Salbutamol is a Short-Acting Beta Agonist (SABA) used for immediate symptom relief.
75,Psychiatry,Substance Abuse,2,"Pinpoint pupils, respiratory depression, and coma are signs of overdose with:",Cocaine,Amphetamines,Opioids,LSD,Opioids,This is the classic triad of opioid overdose.
76,Medicine,Endocrinology,3,A patient with diabetes presents with a fruity odor in their breath and rapid deep breathing. This breathing pattern is:,Cheyne-Stokes,Kussmaul breathing,Biot's breathing,Apnea,Kussmaul breathing,"Kussmaul breathing is deep, labored breathing seen in metabolic acidosis like Diabetic Ketoacidosis (DKA)."
77,Dermatology,Misc,4,Urticaria is a Type ___ hypersensitivity reaction.,I,II,III,IV,I,Urticaria (hives) is an IgE-mediated Type I hypersensitivity reaction.
78,Medicine,Cardiology,2,The first heart sound (S1) is produced by the closure of:,Aortic and Pulmonic valves,Mitral and Tricuspid valves,Mitral and Aortic valves,Tricuspid and Pulmonic valves,Mitral and Tricuspid valves,S1 marks the beginning of systole with the closure of the AV valves.
79,Medicine,Neurology,3,A 70-year-old male has progressive memory loss and getting lost in familiar places. The most likely diagnosis is:,Vascular Dementia,Alzheimer's Disease,Delirium,Normal Pressure Hydrocephalus,Alzheimer's Disease,Alzheimer's is the most common cause of progressive dementia in the elderly.
80,Radiology,Respiratory,3,An 'Egg on a string' appearance of the heart is seen in:,Tetralogy of Fallot,Transposition of Great Arteries (TGA),Coarctation of Aorta,Ebstein's Anomaly,Transposition of Great Arteries (TGA),TGA presents with a narrow mediastinum and an oval-shaped heart on X-ray.
81,Medicine,Hematology,4,In which condition is the Osmotic Fragility Test used for diagnosis?,Thalassemia,Hereditary Spherocytosis,Iron Deficiency Anemia,Aplastic Anemia,Hereditary Spherocytosis,Spherocytes are more fragile and rupture easily in hypotonic solutions.
82,Psychiatry,Defense Mechanisms,3,A woman who was sexually assaulted has no memory of the event. This is:,Suppression,Repression,Denial,Rationalization,Repression,Repression is an unconscious exclusion of painful memories. Suppression is a conscious choice to forget.
83,Medicine,Cardiology,2,Which of the following is the most specific marker for Acute Myocardial Infarction?,CK-MB,Troponin I,LDH,Myoglobin,Troponin I,Troponins are highly specific to cardiac muscle and remain elevated for several days.
84,Dermatology,Hair,2,Exclamation mark hairs are a characteristic feature of:,Tinea Capitis,Alopecia Areata,Trichotillomania,Androgenetic Alopecia,Alopecia Areata,"Non-scarring, patchy hair loss with exclamation mark hairs at the periphery is typical for Alopecia Areata."
85,Medicine,Endocrinology,3,Pretibial Myxedema is seen in:,Hypothyroidism,Graves' Disease,Cushing's Syndrome,Hypoparathyroidism,Graves' Disease,Pretibial myxedema (dermopathy) and Exophthalmos are specific features of Graves' Disease (Hyperthyroidism).
86,Medicine,Nephrology,2,Bence-Jones proteins in urine are suggestive of:,Multiple Myeloma,Nephrotic Syndrome,Pyelonephritis,Renal Cell Carcinoma,Multiple Myeloma,Bence-Jones proteins are monoclonal immunoglobulin light chains produced in Multiple Myeloma.
87,Radiology,Skeletal,2,A 'Bamboo Spine' appearance on X-ray is characteristic of:,Rheumatoid Arthritis,Ankylosing Spondylitis,Osteoarthritis,Scoliosis,Ankylosing Spondylitis,Fusion of vertebrae (syndesmophytes) gives the appearance of a bamboo spine in Ankylosing Spondylitis.
88,Medicine,Gastroenterology,3,The most common site of a Gastric ulcer is the:,Fundus,Greater curvature,Lesser curvature,Pylorus,Lesser curvature,"Most gastric ulcers occur on the lesser curvature, particularly at the incisura angularis."
89,Psychiatry,Sexual Disorders,1,Dressing up in clothes of the opposite sex for sexual arousal is:,Transvestic Disorder,Transgenderism,Voyeurism,Exhibitionism,Transvestic Disorder,This is a paraphilic disorder involving cross-dressing for sexual gratification.
90,Medicine,Neurology,4,Which of the following is the investigation of choice for an acute stroke in the first 6 hours?,MRI,Non-contrast CT Head,Contrast CT Head,Angiography,Non-contrast CT Head,NCCT is used to rule out hemorrhage before starting thrombolytic therapy.
91,Medicine,Infectious Disease,2,The drug of choice for treating Cholera is:,Doxycycline,Metronidazole,Ciprofloxacin,Albendazole,Doxycycline,"While ORS is primary, Doxycycline is the antibiotic of choice to reduce stool volume and duration."
92,Dermatology,Nails,3,Pitting of the nails is most commonly seen in:,Lichen Planus,Psoriasis,Fungal infection,Eczema,Psoriasis,"Pitting, oil spots, and onycholysis are common nail changes in Psoriasis."
93,Medicine,Pulmonology,2,Which of the following is the most common cause of community-acquired pneumonia?,Staphylococcus aureus,Streptococcus pneumoniae,Klebsiella pneumoniae,Legionella,Streptococcus pneumoniae,Pneumococcus remains the most common cause of CAP.
94,Radiology,Cardiac,3,A 'Boot-shaped' heart on X-ray is characteristic of:,Mitral Stenosis,Tetralogy of Fallot,Pericardial Effusion,Heart Failure,Tetralogy of Fallot,"Right ventricular hypertrophy in TOF lifts the apex of the heart, giving it a boot shape (Coeur en sabot)."
95,Psychiatry,Pharmacology,3,The most common side effect of SSRIs is:,Dry mouth,Sexual dysfunction,Weight gain,Sedation,Sexual dysfunction,"Sexual dysfunction (e.g., delayed ejaculation) is a very common reason for non-compliance with SSRIs."
96,Medicine,Hematology,2,Which of the following is the treatment of choice for Vitamin B12 deficiency?,Oral Vitamin B12,Intramuscular Cyanocobalamin,Intravenous Folate,Iron supplements,Intramuscular Cyanocobalamin,"Parenteral (IM) B12 is usually required, especially if there is malabsorption (e.g., Pernicious Anemia)."
97,Dermatology,Leprosy,3,Which nerve is most commonly enlarged in Leprosy?,Median nerve,Ulnar nerve,Radial nerve,Sciatic nerve,Ulnar nerve,The ulnar nerve at the elbow is the most common site of nerve thickening in leprosy.
98,Medicine,Cardiology,4,"Beck's triad (Hypotension, Distended neck veins, Muffled heart sounds) is seen in:",Myocardial Infarction,Cardiac Tamponade,Congestive Heart Failure,Pulmonary Embolism,Cardiac Tamponade,Beck's triad is diagnostic of acute cardiac tamponade.
99,Radiology,Emergency,2,The investigation of choice for Pulmonary Embolism is:,Chest X-ray,D-dimer,CT Pulmonary Angiography (CTPA),ECG,CT Pulmonary Angiography (CTPA),CTPA is the current gold standard for diagnosing PE.
100,Medicine,Gastroenterology,3,Which of the following is used to treat hepatic encephalopathy?,Lactulose,Metformin,Omeprazole,Propranolol,Lactulose,"Lactulose acidifies the colon and converts ammonia into non-absorbable ammonium, helping to clear it from the body."
101,Medicine,Neurology,3,A 25-year-old female presents with fluctuating ptosis and diplopia that worsens towards the end of the day. Which of the following is the most likely diagnosis?,Multiple Sclerosis,Myasthenia Gravis,Lambert-Eaton Syndrome,Guillain-Barré Syndrome,Myasthenia Gravis,Fluctuating weakness and fatiguability of extraocular muscles (worsening with effort/time of day) is the hallmark of Myasthenia Gravis.
102,Medicine,Infectious Disease,2,The 'Rose spots' seen in the second week of fever are characteristic of:,Malaria,Enteric Fever (Typhoid),Dengue,Rickettsial fever,Enteric Fever (Typhoid),"Rose spots are small, faint, salmon-pink macules typically seen on the trunk during the second week of Typhoid fever."
103,Medicine,Cardiology,4,A patient with mitral stenosis presents with sudden onset palpitations. ECG shows absence of P-waves and an irregularly irregular rhythm. What is the most likely diagnosis?,Ventricular Tachycardia,Atrial Fibrillation,Paroxysmal Supraventricular Tachycardia,Sinus Arrhythmia,Atrial Fibrillation,"Mitral stenosis often leads to left atrial enlargement, which is a major risk factor for Atrial Fibrillation (irregularly irregular rhythm with no P-waves)."
104,Psychiatry,Personality Disorders,3,"A 22-year-old female has a history of multiple unstable relationships, frequent self-harming behavior, and chronic feelings of emptiness. Which personality disorder is most likely?",Histrionic,Narcissistic,Borderline,Antisocial,Borderline,"Borderline Personality Disorder is characterized by instability in relationships, self-image, and affect, alongside marked impulsivity and self-harm."
105,Dermatology,Leprosy,3,"A leprosy patient on treatment develops sudden painful, tender, red nodules on the limbs and high fever. This is most likely:",Type 1 Lepra Reaction,Type 2 Lepra Reaction (ENL),Relapse,Dapsone Syndrome,Type 2 Lepra Reaction (ENL),"Erythema Nodosum Leprosum (Type 2) presents with systemic symptoms and tender nodules, typically in lepromatous patients due to immune complex deposition."
106,Radiology,Physics,1,The unit of absorbed dose of radiation is:,Roentgen,Gray,Sievert,Becquerel,Gray,Gray (Gy) is the SI unit for absorbed dose. Sievert is for equivalent/effective dose; Becquerel is for radioactivity.
107,Medicine,Nephrology,2,Broad waxy casts in urine are a characteristic finding in:,Acute Glomerulonephritis,Chronic Renal Failure,Pyelonephritis,Minimal Change Disease,Chronic Renal Failure,"Waxy casts result from the degeneration of cellular casts and are indicative of long-standing, chronic kidney disease."
